img_idx,group_name,group_label,true_class,orig_idx
10,flip_h_r180,5,0,155
10,flip_h_r270,6,0,155
11,r90,0,1,169
11,r180,1,1,169
11,r270,2,1,169
11,flip_h,3,1,169
11,flip_h_r90,4,1,169
11,flip_h_r180,5,1,169
11,flip_h_r270,6,1,169
12,r90,0,1,180
12,r180,1,1,180
12,r270,2,1,180
12,flip_h,3,1,180
12,flip_h_r90,4,1,180
12,flip_h_r180,5,1,180
12,flip_h_r270,6,1,180
13,r90,0,0,200
13,r180,1,0,200
13,r270,2,0,200
13,flip_h,3,0,200
13,flip_h_r90,4,0,200
13,flip_h_r180,5,0,200
13,flip_h_r270,6,0,200
14,r90,0,1,208
14,r180,1,1,208
14,r270,2,1,208
14,flip_h,3,1,208
14,flip_h_r90,4,1,208
14,flip_h_r180,5,1,208
14,flip_h_r270,6,1,208
15,r90,0,1,244
15,r180,1,1,244
15,r270,2,1,244
15,flip_h,3,1,244
15,flip_h_r90,4,1,244
15,flip_h_r180,5,1,244
15,flip_h_r270,6,1,244
16,r90,0,0,253
16,r180,1,0,253
16,r270,2,0,253
16,flip_h,3,0,253
16,flip_h_r90,4,0,253
16,flip_h_r180,5,0,253
16,flip_h_r270,6,0,253
17,r90,0,1,262
17,r180,1,1,262
17,r270,2,1,262
17,flip_h,3,1,262
17,flip_h_r90,4,1,262
17,flip_h_r180,5,1,262
17,flip_h_r270,6,1,262
18,r90,0,0,271
18,r180,1,0,271
18,r270,2,0,271
18,flip_h,3,0,271
18,flip_h_r90,4,0,271
18,flip_h_r180,5,0,271
18,flip_h_r270,6,0,271
19,r90,0,2,282
19,r180,1,2,282
19,r270,2,2,282
19,flip_h,3,2,282
19,flip_h_r90,4,2,282
19,flip_h_r180,5,2,282
19,flip_h_r270,6,2,282
20,r90,0,1,305
20,r180,1,1,305
20,r270,2,1,305
20,flip_h,3,1,305
20,flip_h_r90,4,1,305
20,flip_h_r180,5,1,305
20,flip_h_r270,6,1,305
21,r90,0,1,310
21,r180,1,1,310
21,r270,2,1,310
21,flip_h,3,1,310
21,flip_h_r90,4,1,310
21,flip_h_r180,5,1,310
21,flip_h_r270,6,1,310
22,r90,0,1,337
22,r180,1,1,337
22,r270,2,1,337
22,flip_h,3,1,337
22,flip_h_r90,4,1,337
22,flip_h_r180,5,1,337
22,flip_h_r270,6,1,337
23,r90,0,2,353
23,r180,1,2,353
23,r270,2,2,353
23,flip_h,3,2,353
23,flip_h_r90,4,2,353
23,flip_h_r180,5,2,353
23,flip_h_r270,6,2,353
24,r90,0,2,370
24,r180,1,2,370
24,r270,2,2,370
24,flip_h,3,2,370
24,flip_h_r90,4,2,370
24,flip_h_r180,5,2,370
24,flip_h_r270,6,2,370
25,r90,0,0,386
25,r180,1,0,386
25,r270,2,0,386
25,flip_h,3,0,386
25,flip_h_r90,4,0,386
25,flip_h_r180,5,0,386
25,flip_h_r270,6,0,386
26,r90,0,0,393
26,r180,1,0,393
26,r270,2,0,393
26,flip_h,3,0,393
26,flip_h_r90,4,0,393
26,flip_h_r180,5,0,393
26,flip_h_r270,6,0,393
27,r90,0,2,447
27,r180,1,2,447
27,r270,2,2,447
27,flip_h,3,2,447
27,flip_h_r90,4,2,447
27,flip_h_r180,5,2,447
27,flip_h_r270,6,2,447
28,r90,0,2,458
28,r180,1,2,458
28,r270,2,2,458
28,flip_h,3,2,458
28,flip_h_r90,4,2,458
28,flip_h_r180,5,2,458
28,flip_h_r270,6,2,458
29,r90,0,0,504
29,r180,1,0,504
29,r270,2,0,504
29,flip_h,3,0,504
29,flip_h_r90,4,0,504
29,flip_h_r180,5,0,504
29,flip_h_r270,6,0,504
30,r90,0,2,513
30,r180,1,2,513
30,r270,2,2,513
30,flip_h,3,2,513
30,flip_h_r90,4,2,513
30,flip_h_r180,5,2,513
30,flip_h_r270,6,2,513
31,r90,0,2,516
31,r180,1,2,516
31,r270,2,2,516
31,flip_h,3,2,516
31,flip_h_r90,4,2,516
31,flip_h_r180,5,2,516
31,flip_h_r270,6,2,516
32,r90,0,1,546
32,r180,1,1,546
32,r270,2,1,546
32,flip_h,3,1,546
32,flip_h_r90,4,1,546
32,flip_h_r180,5,1,546
32,flip_h_r270,6,1,546
33,r90,0,0,565
33,r180,1,0,565
33,r270,2,0,565
33,flip_h,3,0,565
33,flip_h_r90,4,0,565
33,flip_h_r180,5,0,565
33,flip_h_r270,6,0,565
34,r90,0,1,575
34,r180,1,1,575
34,r270,2,1,575
34,flip_h,3,1,575
34,flip_h_r90,4,1,575
34,flip_h_r180,5,1,575
34,flip_h_r270,6,1,575
35,r90,0,2,577
35,r180,1,2,577
35,r270,2,2,577
35,flip_h,3,2,577
35,flip_h_r90,4,2,577
35,flip_h_r180,5,2,577
35,flip_h_r270,6,2,577
36,r90,0,2,593
36,r180,1,2,593
36,r270,2,2,593
36,flip_h,3,2,593
36,flip_h_r90,4,2,593
36,flip_h_r180,5,2,593
36,flip_h_r270,6,2,593
37,r90,0,2,596
37,r180,1,2,596
37,r270,2,2,596
37,flip_h,3,2,596
37,flip_h_r90,4,2,596
37,flip_h_r180,5,2,596
37,flip_h_r270,6,2,596
38,r90,0,0,597
38,r180,1,0,597
38,r270,2,0,597
38,flip_h,3,0,597
38,flip_h_r90,4,0,597
38,flip_h_r180,5,0,597
38,flip_h_r270,6,0,597
39,r90,0,0,600
39,r180,1,0,600
39,r270,2,0,600
39,flip_h,3,0,600
39,flip_h_r90,4,0,600
39,flip_h_r180,5,0,600
39,flip_h_r270,6,0,600
40,r90,0,2,603
40,r180,1,2,603
40,r270,2,2,603
40,flip_h,3,2,603
40,flip_h_r90,4,2,603
40,flip_h_r180,5,2,603
40,flip_h_r270,6,2,603
41,r90,0,1,609
41,r180,1,1,609
41,r270,2,1,609
41,flip_h,3,1,609
41,flip_h_r90,4,1,609
41,flip_h_r180,5,1,609
41,flip_h_r270,6,1,609
42,r90,0,0,628
42,r180,1,0,628
42,r270,2,0,628
42,flip_h,3,0,628
42,flip_h_r90,4,0,628
42,flip_h_r180,5,0,628
42,flip_h_r270,6,0,628
43,r90,0,0,654
43,r180,1,0,654
43,r270,2,0,654
43,flip_h,3,0,654
43,flip_h_r90,4,0,654
43,flip_h_r180,5,0,654
43,flip_h_r270,6,0,654
44,r90,0,1,680
44,r180,1,1,680
44,r270,2,1,680
44,flip_h,3,1,680
44,flip_h_r90,4,1,680
44,flip_h_r180,5,1,680
44,flip_h_r270,6,1,680
45,r90,0,1,711
45,r180,1,1,711
45,r270,2,1,711
45,flip_h,3,1,711
45,flip_h_r90,4,1,711
45,flip_h_r180,5,1,711
45,flip_h_r270,6,1,711
46,r90,0,0,734
46,r180,1,0,734
46,r270,2,0,734
46,flip_h,3,0,734
46,flip_h_r90,4,0,734
46,flip_h_r180,5,0,734
46,flip_h_r270,6,0,734
47,r90,0,1,771
47,r180,1,1,771
47,r270,2,1,771
47,flip_h,3,1,771
47,flip_h_r90,4,1,771
47,flip_h_r180,5,1,771
47,flip_h_r270,6,1,771
48,r90,0,0,787
48,r180,1,0,787
48,r270,2,0,787
48,flip_h,3,0,787
48,flip_h_r90,4,0,787
48,flip_h_r180,5,0,787
48,flip_h_r270,6,0,787
49,r90,0,0,793
49,r180,1,0,793
49,r270,2,0,793
49,flip_h,3,0,793
49,flip_h_r90,4,0,793
49,flip_h_r180,5,0,793
49,flip_h_r270,6,0,793
50,r90,0,1,836
50,r180,1,1,836
50,r270,2,1,836
50,flip_h,3,1,836
50,flip_h_r90,4,1,836
50,flip_h_r180,5,1,836
50,flip_h_r270,6,1,836
51,r90,0,0,853
51,r180,1,0,853
51,r270,2,0,853
51,flip_h,3,0,853
51,flip_h_r90,4,0,853
51,flip_h_r180,5,0,853
51,flip_h_r270,6,0,853
52,r90,0,0,858
52,r180,1,0,858
52,r270,2,0,858
52,flip_h,3,0,858
52,flip_h_r90,4,0,858
52,flip_h_r180,5,0,858
52,flip_h_r270,6,0,858
53,r90,0,1,859
53,r180,1,1,859
53,r270,2,1,859
53,flip_h,3,1,859
53,flip_h_r90,4,1,859
53,flip_h_r180,5,1,859
53,flip_h_r270,6,1,859
54,r90,0,2,868
54,r180,1,2,868
54,r270,2,2,868
54,flip_h,3,2,868
54,flip_h_r90,4,2,868
54,flip_h_r180,5,2,868
54,flip_h_r270,6,2,868
55,r90,0,2,895
55,r180,1,2,895
55,r270,2,2,895
55,flip_h,3,2,895
55,flip_h_r90,4,2,895
55,flip_h_r180,5,2,895
55,flip_h_r270,6,2,895
56,r90,0,0,906
56,r180,1,0,906
56,r270,2,0,906
56,flip_h,3,0,906
56,flip_h_r90,4,0,906
56,flip_h_r180,5,0,906
56,flip_h_r270,6,0,906
57,r90,0,2,917
57,r180,1,2,917
57,r270,2,2,917
57,flip_h,3,2,917
57,flip_h_r90,4,2,917
57,flip_h_r180,5,2,917
57,flip_h_r270,6,2,917
58,r90,0,2,919
58,r180,1,2,919
58,r270,2,2,919
58,flip_h,3,2,919
58,flip_h_r90,4,2,919
58,flip_h_r180,5,2,919
58,flip_h_r270,6,2,919
59,r90,0,0,931
59,r180,1,0,931
59,r270,2,0,931
59,flip_h,3,0,931
59,flip_h_r90,4,0,931
59,flip_h_r180,5,0,931
59,flip_h_r270,6,0,931
60,r90,0,1,934
60,r180,1,1,934
60,r270,2,1,934
60,flip_h,3,1,934
60,flip_h_r90,4,1,934
60,flip_h_r180,5,1,934
60,flip_h_r270,6,1,934
61,r90,0,1,949
61,r180,1,1,949
61,r270,2,1,949
61,flip_h,3,1,949
61,flip_h_r90,4,1,949
61,flip_h_r180,5,1,949
61,flip_h_r270,6,1,949
62,r90,0,0,952
62,r180,1,0,952
62,r270,2,0,952
62,flip_h,3,0,952
62,flip_h_r90,4,0,952
62,flip_h_r180,5,0,952
62,flip_h_r270,6,0,952
63,r90,0,2,956
63,r180,1,2,956
63,r270,2,2,956
63,flip_h,3,2,956
63,flip_h_r90,4,2,956
63,flip_h_r180,5,2,956
63,flip_h_r270,6,2,956
64,r90,0,1,958
64,r180,1,1,958
64,r270,2,1,958
64,flip_h,3,1,958
64,flip_h_r90,4,1,958
64,flip_h_r180,5,1,958
64,flip_h_r270,6,1,958
65,r90,0,1,986
65,r180,1,1,986
65,r270,2,1,986
65,flip_h,3,1,986
65,flip_h_r90,4,1,986
65,flip_h_r180,5,1,986
65,flip_h_r270,6,1,986
66,r90,0,2,997
66,r180,1,2,997
66,r270,2,2,997
66,flip_h,3,2,997
66,flip_h_r90,4,2,997
66,flip_h_r180,5,2,997
66,flip_h_r270,6,2,997
67,r90,0,0,1014
67,r180,1,0,1014
67,r270,2,0,1014
67,flip_h,3,0,1014
67,flip_h_r90,4,0,1014
67,flip_h_r180,5,0,1014
67,flip_h_r270,6,0,1014
68,r90,0,2,1064
68,r180,1,2,1064
68,r270,2,2,1064
68,flip_h,3,2,1064
68,flip_h_r90,4,2,1064
68,flip_h_r180,5,2,1064
68,flip_h_r270,6,2,1064
69,r90,0,2,1089
69,r180,1,2,1089
69,r270,2,2,1089
69,flip_h,3,2,1089
69,flip_h_r90,4,2,1089
69,flip_h_r180,5,2,1089
69,flip_h_r270,6,2,1089
70,r90,0,1,1101
70,r180,1,1,1101
70,r270,2,1,1101
70,flip_h,3,1,1101
70,flip_h_r90,4,1,1101
70,flip_h_r180,5,1,1101
70,flip_h_r270,6,1,1101
71,r90,0,0,1109
71,r180,1,0,1109
71,r270,2,0,1109
71,flip_h,3,0,1109
71,flip_h_r90,4,0,1109
71,flip_h_r180,5,0,1109
71,flip_h_r270,6,0,1109
72,r90,0,0,1113
72,r180,1,0,1113
72,r270,2,0,1113
72,flip_h,3,0,1113
72,flip_h_r90,4,0,1113
72,flip_h_r180,5,0,1113
72,flip_h_r270,6,0,1113
73,r90,0,1,1121
73,r180,1,1,1121
73,r270,2,1,1121
73,flip_h,3,1,1121
73,flip_h_r90,4,1,1121
73,flip_h_r180,5,1,1121
73,flip_h_r270,6,1,1121
74,r90,0,1,1175
74,r180,1,1,1175
74,r270,2,1,1175
74,flip_h,3,1,1175
74,flip_h_r90,4,1,1175
74,flip_h_r180,5,1,1175
74,flip_h_r270,6,1,1175
75,r90,0,1,1186
75,r180,1,1,1186
75,r270,2,1,1186
75,flip_h,3,1,1186
75,flip_h_r90,4,1,1186
75,flip_h_r180,5,1,1186
75,flip_h_r270,6,1,1186
76,r90,0,2,1188
76,r180,1,2,1188
76,r270,2,2,1188
76,flip_h,3,2,1188
76,flip_h_r90,4,2,1188
76,flip_h_r180,5,2,1188
76,flip_h_r270,6,2,1188
77,r90,0,1,1204
77,r180,1,1,1204
77,r270,2,1,1204
77,flip_h,3,1,1204
77,flip_h_r90,4,1,1204
77,flip_h_r180,5,1,1204
77,flip_h_r270,6,1,1204
78,r90,0,2,1213
78,r180,1,2,1213
78,r270,2,2,1213
78,flip_h,3,2,1213
78,flip_h_r90,4,2,1213
78,flip_h_r180,5,2,1213
78,flip_h_r270,6,2,1213
79,r90,0,1,1248
79,r180,1,1,1248
79,r270,2,1,1248
79,flip_h,3,1,1248
79,flip_h_r90,4,1,1248
79,flip_h_r180,5,1,1248
79,flip_h_r270,6,1,1248
80,r90,0,0,1253
80,r180,1,0,1253
80,r270,2,0,1253
80,flip_h,3,0,1253
80,flip_h_r90,4,0,1253
80,flip_h_r180,5,0,1253
80,flip_h_r270,6,0,1253
81,r90,0,1,1274
81,r180,1,1,1274
81,r270,2,1,1274
81,flip_h,3,1,1274
81,flip_h_r90,4,1,1274
81,flip_h_r180,5,1,1274
81,flip_h_r270,6,1,1274
82,r90,0,1,1313
82,r180,1,1,1313
82,r270,2,1,1313
82,flip_h,3,1,1313
82,flip_h_r90,4,1,1313
82,flip_h_r180,5,1,1313
82,flip_h_r270,6,1,1313
83,r90,0,1,1345
83,r180,1,1,1345
83,r270,2,1,1345
83,flip_h,3,1,1345
83,flip_h_r90,4,1,1345
83,flip_h_r180,5,1,1345
83,flip_h_r270,6,1,1345
84,r90,0,1,1347
84,r180,1,1,1347
84,r270,2,1,1347
84,flip_h,3,1,1347
84,flip_h_r90,4,1,1347
84,flip_h_r180,5,1,1347
84,flip_h_r270,6,1,1347
85,r90,0,0,1348
85,r180,1,0,1348
85,r270,2,0,1348
85,flip_h,3,0,1348
85,flip_h_r90,4,0,1348
85,flip_h_r180,5,0,1348
85,flip_h_r270,6,0,1348
86,r90,0,2,1359
86,r180,1,2,1359
86,r270,2,2,1359
86,flip_h,3,2,1359
86,flip_h_r90,4,2,1359
86,flip_h_r180,5,2,1359
86,flip_h_r270,6,2,1359
87,r90,0,1,1378
87,r180,1,1,1378
87,r270,2,1,1378
87,flip_h,3,1,1378
87,flip_h_r90,4,1,1378
87,flip_h_r180,5,1,1378
87,flip_h_r270,6,1,1378
88,r90,0,1,1411
88,r180,1,1,1411
88,r270,2,1,1411
88,flip_h,3,1,1411
88,flip_h_r90,4,1,1411
88,flip_h_r180,5,1,1411
88,flip_h_r270,6,1,1411
89,r90,0,1,1420
89,r180,1,1,1420
89,r270,2,1,1420
89,flip_h,3,1,1420
89,flip_h_r90,4,1,1420
89,flip_h_r180,5,1,1420
89,flip_h_r270,6,1,1420
90,r90,0,2,1426
90,r180,1,2,1426
90,r270,2,2,1426
90,flip_h,3,2,1426
90,flip_h_r90,4,2,1426
90,flip_h_r180,5,2,1426
90,flip_h_r270,6,2,1426
91,r90,0,2,1433
91,r180,1,2,1433
91,r270,2,2,1433
91,flip_h,3,2,1433
91,flip_h_r90,4,2,1433
91,flip_h_r180,5,2,1433
91,flip_h_r270,6,2,1433
92,r90,0,2,1473
92,r180,1,2,1473
92,r270,2,2,1473
92,flip_h,3,2,1473
92,flip_h_r90,4,2,1473
92,flip_h_r180,5,2,1473
92,flip_h_r270,6,2,1473
93,r90,0,1,1474
93,r180,1,1,1474
93,r270,2,1,1474
93,flip_h,3,1,1474
93,flip_h_r90,4,1,1474
93,flip_h_r180,5,1,1474
93,flip_h_r270,6,1,1474
94,r90,0,0,1525
94,r180,1,0,1525
94,r270,2,0,1525
94,flip_h,3,0,1525
94,flip_h_r90,4,0,1525
94,flip_h_r180,5,0,1525
94,flip_h_r270,6,0,1525
95,r90,0,2,1564
95,r180,1,2,1564
95,r270,2,2,1564
95,flip_h,3,2,1564
95,flip_h_r90,4,2,1564
95,flip_h_r180,5,2,1564
95,flip_h_r270,6,2,1564
96,r90,0,0,1568
96,r180,1,0,1568
96,r270,2,0,1568
96,flip_h,3,0,1568
96,flip_h_r90,4,0,1568
96,flip_h_r180,5,0,1568
96,flip_h_r270,6,0,1568
97,r90,0,1,1570
97,r180,1,1,1570
97,r270,2,1,1570
97,flip_h,3,1,1570
97,flip_h_r90,4,1,1570
97,flip_h_r180,5,1,1570
97,flip_h_r270,6,1,1570
98,r90,0,1,1581
98,r180,1,1,1581
98,r270,2,1,1581
98,flip_h,3,1,1581
98,flip_h_r90,4,1,1581
98,flip_h_r180,5,1,1581
98,flip_h_r270,6,1,1581
99,r90,0,0,1592
99,r180,1,0,1592
99,r270,2,0,1592
99,flip_h,3,0,1592
99,flip_h_r90,4,0,1592
99,flip_h_r180,5,0,1592
99,flip_h_r270,6,0,1592
100,r90,0,1,1600
100,r180,1,1,1600
100,r270,2,1,1600
100,flip_h,3,1,1600
100,flip_h_r90,4,1,1600
100,flip_h_r180,5,1,1600
100,flip_h_r270,6,1,1600
101,r90,0,0,1605
101,r180,1,0,1605
101,r270,2,0,1605
101,flip_h,3,0,1605
101,flip_h_r90,4,0,1605
101,flip_h_r180,5,0,1605
101,flip_h_r270,6,0,1605
102,r90,0,0,1636
102,r180,1,0,1636
102,r270,2,0,1636
102,flip_h,3,0,1636
102,flip_h_r90,4,0,1636
102,flip_h_r180,5,0,1636
102,flip_h_r270,6,0,1636
103,r90,0,0,1657
103,r180,1,0,1657
103,r270,2,0,1657
103,flip_h,3,0,1657
103,flip_h_r90,4,0,1657
103,flip_h_r180,5,0,1657
103,flip_h_r270,6,0,1657
104,r90,0,2,1673
104,r180,1,2,1673
104,r270,2,2,1673
104,flip_h,3,2,1673
104,flip_h_r90,4,2,1673
104,flip_h_r180,5,2,1673
104,flip_h_r270,6,2,1673
105,r90,0,2,1689
105,r180,1,2,1689
105,r270,2,2,1689
105,flip_h,3,2,1689
105,flip_h_r90,4,2,1689
105,flip_h_r180,5,2,1689
105,flip_h_r270,6,2,1689
106,r90,0,1,1692
106,r180,1,1,1692
106,r270,2,1,1692
106,flip_h,3,1,1692
106,flip_h_r90,4,1,1692
106,flip_h_r180,5,1,1692
106,flip_h_r270,6,1,1692
107,r90,0,1,1701
107,r180,1,1,1701
107,r270,2,1,1701
107,flip_h,3,1,1701
107,flip_h_r90,4,1,1701
107,flip_h_r180,5,1,1701
107,flip_h_r270,6,1,1701
108,r90,0,0,1717
108,r180,1,0,1717
108,r270,2,0,1717
108,flip_h,3,0,1717
108,flip_h_r90,4,0,1717
108,flip_h_r180,5,0,1717
108,flip_h_r270,6,0,1717
109,r90,0,0,1740
109,r180,1,0,1740
109,r270,2,0,1740
109,flip_h,3,0,1740
109,flip_h_r90,4,0,1740
109,flip_h_r180,5,0,1740
109,flip_h_r270,6,0,1740
110,r90,0,2,1742
110,r180,1,2,1742
110,r270,2,2,1742
110,flip_h,3,2,1742
110,flip_h_r90,4,2,1742
110,flip_h_r180,5,2,1742
110,flip_h_r270,6,2,1742
111,r90,0,1,1747
111,r180,1,1,1747
111,r270,2,1,1747
111,flip_h,3,1,1747
111,flip_h_r90,4,1,1747
111,flip_h_r180,5,1,1747
111,flip_h_r270,6,1,1747
112,r90,0,0,1752
112,r180,1,0,1752
112,r270,2,0,1752
112,flip_h,3,0,1752
112,flip_h_r90,4,0,1752
112,flip_h_r180,5,0,1752
112,flip_h_r270,6,0,1752
113,r90,0,1,1771
113,r180,1,1,1771
113,r270,2,1,1771
113,flip_h,3,1,1771
113,flip_h_r90,4,1,1771
113,flip_h_r180,5,1,1771
113,flip_h_r270,6,1,1771
114,r90,0,2,1774
114,r180,1,2,1774
114,r270,2,2,1774
114,flip_h,3,2,1774
114,flip_h_r90,4,2,1774
114,flip_h_r180,5,2,1774
114,flip_h_r270,6,2,1774
115,r90,0,2,1804
115,r180,1,2,1804
115,r270,2,2,1804
115,flip_h,3,2,1804
115,flip_h_r90,4,2,1804
115,flip_h_r180,5,2,1804
115,flip_h_r270,6,2,1804
116,r90,0,0,1809
116,r180,1,0,1809
116,r270,2,0,1809
116,flip_h,3,0,1809
116,flip_h_r90,4,0,1809
116,flip_h_r180,5,0,1809
116,flip_h_r270,6,0,1809
117,r90,0,2,1812
117,r180,1,2,1812
117,r270,2,2,1812
117,flip_h,3,2,1812
117,flip_h_r90,4,2,1812
117,flip_h_r180,5,2,1812
117,flip_h_r270,6,2,1812
118,r90,0,0,1817
118,r180,1,0,1817
118,r270,2,0,1817
118,flip_h,3,0,1817
118,flip_h_r90,4,0,1817
118,flip_h_r180,5,0,1817
118,flip_h_r270,6,0,1817
119,r90,0,2,1832
119,r180,1,2,1832
119,r270,2,2,1832
119,flip_h,3,2,1832
119,flip_h_r90,4,2,1832
119,flip_h_r180,5,2,1832
119,flip_h_r270,6,2,1832
120,r90,0,2,1836
120,r180,1,2,1836
120,r270,2,2,1836
120,flip_h,3,2,1836
120,flip_h_r90,4,2,1836
120,flip_h_r180,5,2,1836
120,flip_h_r270,6,2,1836
121,r90,0,0,1869
121,r180,1,0,1869
121,r270,2,0,1869
121,flip_h,3,0,1869
121,flip_h_r90,4,0,1869
121,flip_h_r180,5,0,1869
121,flip_h_r270,6,0,1869
122,r90,0,0,1875
122,r180,1,0,1875
122,r270,2,0,1875
122,flip_h,3,0,1875
122,flip_h_r90,4,0,1875
122,flip_h_r180,5,0,1875
122,flip_h_r270,6,0,1875
123,r90,0,0,1888
123,r180,1,0,1888
123,r270,2,0,1888
123,flip_h,3,0,1888
123,flip_h_r90,4,0,1888
123,flip_h_r180,5,0,1888
123,flip_h_r270,6,0,1888
124,r90,0,2,1890
124,r180,1,2,1890
124,r270,2,2,1890
124,flip_h,3,2,1890
124,flip_h_r90,4,2,1890
124,flip_h_r180,5,2,1890
124,flip_h_r270,6,2,1890
125,r90,0,2,1905
125,r180,1,2,1905
125,r270,2,2,1905
125,flip_h,3,2,1905
125,flip_h_r90,4,2,1905
125,flip_h_r180,5,2,1905
125,flip_h_r270,6,2,1905
126,r90,0,0,1915
126,r180,1,0,1915
126,r270,2,0,1915
126,flip_h,3,0,1915
126,flip_h_r90,4,0,1915
126,flip_h_r180,5,0,1915
126,flip_h_r270,6,0,1915
127,r90,0,1,1916
127,r180,1,1,1916
127,r270,2,1,1916
127,flip_h,3,1,1916
127,flip_h_r90,4,1,1916
127,flip_h_r180,5,1,1916
127,flip_h_r270,6,1,1916
128,r90,0,2,1943
128,r180,1,2,1943
128,r270,2,2,1943
128,flip_h,3,2,1943
128,flip_h_r90,4,2,1943
128,flip_h_r180,5,2,1943
128,flip_h_r270,6,2,1943
129,r90,0,1,1961
129,r180,1,1,1961
129,r270,2,1,1961
129,flip_h,3,1,1961
129,flip_h_r90,4,1,1961
129,flip_h_r180,5,1,1961
129,flip_h_r270,6,1,1961
130,r90,0,0,1989
130,r180,1,0,1989
130,r270,2,0,1989
130,flip_h,3,0,1989
130,flip_h_r90,4,0,1989
130,flip_h_r180,5,0,1989
130,flip_h_r270,6,0,1989
131,r90,0,0,1993
131,r180,1,0,1993
131,r270,2,0,1993
131,flip_h,3,0,1993
131,flip_h_r90,4,0,1993
131,flip_h_r180,5,0,1993
131,flip_h_r270,6,0,1993
132,r90,0,1,2046
132,r180,1,1,2046
132,r270,2,1,2046
132,flip_h,3,1,2046
132,flip_h_r90,4,1,2046
132,flip_h_r180,5,1,2046
132,flip_h_r270,6,1,2046
133,r90,0,0,2048
133,r180,1,0,2048
133,r270,2,0,2048
133,flip_h,3,0,2048
133,flip_h_r90,4,0,2048
133,flip_h_r180,5,0,2048
133,flip_h_r270,6,0,2048
134,r90,0,1,2070
134,r180,1,1,2070
134,r270,2,1,2070
134,flip_h,3,1,2070
134,flip_h_r90,4,1,2070
134,flip_h_r180,5,1,2070
134,flip_h_r270,6,1,2070
135,r90,0,0,2071
135,r180,1,0,2071
135,r270,2,0,2071
135,flip_h,3,0,2071
135,flip_h_r90,4,0,2071
135,flip_h_r180,5,0,2071
135,flip_h_r270,6,0,2071
136,r90,0,2,2078
136,r180,1,2,2078
136,r270,2,2,2078
136,flip_h,3,2,2078
136,flip_h_r90,4,2,2078
136,flip_h_r180,5,2,2078
136,flip_h_r270,6,2,2078
137,r90,0,0,2088
137,r180,1,0,2088
137,r270,2,0,2088
137,flip_h,3,0,2088
137,flip_h_r90,4,0,2088
137,flip_h_r180,5,0,2088
137,flip_h_r270,6,0,2088
138,r90,0,1,2103
138,r180,1,1,2103
138,r270,2,1,2103
138,flip_h,3,1,2103
138,flip_h_r90,4,1,2103
138,flip_h_r180,5,1,2103
138,flip_h_r270,6,1,2103
139,r90,0,1,2178
139,r180,1,1,2178
139,r270,2,1,2178
139,flip_h,3,1,2178
139,flip_h_r90,4,1,2178
139,flip_h_r180,5,1,2178
139,flip_h_r270,6,1,2178
140,r90,0,1,2180
140,r180,1,1,2180
140,r270,2,1,2180
140,flip_h,3,1,2180
140,flip_h_r90,4,1,2180
140,flip_h_r180,5,1,2180
140,flip_h_r270,6,1,2180
141,r90,0,1,2206
141,r180,1,1,2206
141,r270,2,1,2206
141,flip_h,3,1,2206
141,flip_h_r90,4,1,2206
141,flip_h_r180,5,1,2206
141,flip_h_r270,6,1,2206
142,r90,0,1,2208
142,r180,1,1,2208
142,r270,2,1,2208
142,flip_h,3,1,2208
142,flip_h_r90,4,1,2208
